logged_utc,event,unit_key,unit_number,building,wing,floorplan,beds,baths,sqft,floor,facing,price,prev_price,rent_psf,lease_term_months,status,available_date,first_seen_utc,source,url
2026-08-17T20:17:10Z,listed,01-3063,01-3063,West,southwest edge along Costco Entry Dr,2 Bedrooms D,2,2,1266,3,North/West,5113,,4.04,,renovating,2026-08-28,2026-08-17T20:17:10Z,portal,https://www.equityapartments.com/san-francisco-bay/south-san-francisco/south-city-station-apartments
2026-08-17T20:17:10Z,listed,01-2088,01-2088,East,"inner east wing, garage-adjacent",2 Bedrooms A,2,2,1054,2,South,4589,,4.35,,available-,2026-08-17,2026-08-17T20:17:10Z,portal,https://www.equityapartments.com/san-francisco-bay/south-san-francisco/south-city-station-apartments
2026-08-17T20:17:10Z,listed,01-2049,01-2049,West,south courtyard cluster by the spa,2 Bedrooms A,2,2,1054,2,East/North,4694,,4.45,,renovating,2026-10-06,2026-08-17T20:17:10Z,portal,https://www.equityapartments.com/san-francisco-bay/south-san-francisco/south-city-station-apartments
2026-08-20T10:48:48Z,price_change,01-3063,01-3063,West,southwest edge along Costco Entry Dr,2 Bedrooms D,2,2,1266,3,North/West,5058,5113,4.00,,renovating,2026-08-28,2026-08-17T20:17:10Z,portal,https://www.equityapartments.com/san-francisco-bay/south-san-francisco/south-city-station-apartments
2026-08-20T10:48:48Z,price_change,01-2088,01-2088,East,"inner east wing, garage-adjacent",2 Bedrooms A,2,2,1054,2,South,4529,4589,4.30,,available-for-viewing,2026-08-20,2026-08-17T20:17:10Z,portal,https://www.equityapartments.com/san-francisco-bay/south-san-francisco/south-city-station-apartments
2026-08-20T10:48:48Z,price_change,01-2049,01-2049,West,south courtyard cluster by the spa,2 Bedrooms A,2,2,1054,2,East/North,4679,4694,4.44,,renovating,2026-10-06,2026-08-17T20:17:10Z,portal,https://www.equityapartments.com/san-francisco-bay/south-san-francisco/south-city-station-apartments
2026-08-22T13:02:10Z,price_change,01-3063,01-3063,West,southwest edge along Costco Entry Dr,2 Bedrooms D,2,2,1266,3,North/West,5023,5058,3.97,,renovating,2026-08-28,2026-08-17T20:17:10Z,portal,https://www.equityapartments.com/san-francisco-bay/south-san-francisco/south-city-station-apartments
2026-08-22T13:02:10Z,price_change,01-2088,01-2088,East,"inner east wing, garage-adjacent",2 Bedrooms A,2,2,1054,2,South,4504,4529,4.27,,available-for-viewing,2026-08-22,2026-08-17T20:17:10Z,portal,https://www.equityapartments.com/san-francisco-bay/south-san-francisco/south-city-station-apartments
2026-08-22T13:02:10Z,price_change,01-2049,01-2049,West,south courtyard cluster by the spa,2 Bedrooms A,2,2,1054,2,East/North,4644,4679,4.41,,renovating,2026-10-05,2026-08-17T20:17:10Z,portal,https://www.equityapartments.com/san-francisco-bay/south-san-francisco/south-city-station-apartments
2026-08-24T10:05:12Z,price_change,01-3063,01-3063,West,southwest edge along Costco Entry Dr,2 Bedrooms D,2,2,1266,3,North/West,5048,5023,3.99,,renovating,2026-08-28,2026-08-17T20:17:10Z,portal,https://www.equityapartments.com/san-francisco-bay/south-san-francisco/south-city-station-apartments
2026-08-24T10:05:12Z,price_change,01-2088,01-2088,East,"inner east wing, garage-adjacent",2 Bedrooms A,2,2,1054,2,South,4539,4504,4.31,,available-for-viewing,2026-08-24,2026-08-17T20:17:10Z,portal,https://www.equityapartments.com/san-francisco-bay/south-san-francisco/south-city-station-apartments
2026-08-24T10:05:12Z,price_change,01-2049,01-2049,West,south courtyard cluster by the spa,2 Bedrooms A,2,2,1054,2,East/North,4659,4644,4.42,,renovating,2026-10-05,2026-08-17T20:17:10Z,portal,https://www.equityapartments.com/san-francisco-bay/south-san-francisco/south-city-station-apartments
2026-08-25T13:12:39Z,price_change,01-3063,01-3063,West,southwest edge along Costco Entry Dr,2 Bedrooms D,2,2,1266,3,North/West,5043,5048,3.98,,renovating,2026-08-28,2026-08-17T20:17:10Z,portal,https://www.equityapartments.com/san-francisco-bay/south-san-francisco/south-city-station-apartments
2026-08-25T13:12:39Z,price_change,01-2088,01-2088,East,"inner east wing, garage-adjacent",2 Bedrooms A,2,2,1054,2,South,4534,4539,4.30,,available-for-viewing,2026-08-25,2026-08-17T20:17:10Z,portal,https://www.equityapartments.com/san-francisco-bay/south-san-francisco/south-city-station-apartments
2026-08-26T13:17:45Z,price_change,01-3063,01-3063,West,southwest edge along Costco Entry Dr,2 Bedrooms D,2,2,1266,3,North/West,5093,5043,4.02,,renovating,2026-08-28,2026-08-17T20:17:10Z,portal,https://www.equityapartments.com/san-francisco-bay/south-san-francisco/south-city-station-apartments
2026-08-26T13:17:45Z,price_change,01-2049,01-2049,West,south courtyard cluster by the spa,2 Bedrooms A,2,2,1054,2,East/North,4694,4659,4.45,,renovating,2026-10-05,2026-08-17T20:17:10Z,portal,https://www.equityapartments.com/san-francisco-bay/south-san-francisco/south-city-station-apartments
2026-08-27T20:32:11Z,price_change,01-2049,01-2049,West,south courtyard cluster by the spa,2 Bedrooms A,2,2,1054,2,East/North,4839,4694,4.59,,renovating,2026-10-05,2026-08-17T20:17:10Z,portal,https://www.equityapartments.com/san-francisco-bay/south-san-francisco/south-city-station-apartments
2026-08-28T18:44:25Z,price_change,01-2049,01-2049,West,south courtyard cluster by the spa,2 Bedrooms A,2,2,1054,2,East/North,4829,4839,4.58,,renovating,2026-10-05,2026-08-17T20:17:10Z,portal,https://www.equityapartments.com/san-francisco-bay/south-san-francisco/south-city-station-apartments
2026-08-29T14:29:58Z,price_change,01-2049,01-2049,West,south courtyard cluster by the spa,2 Bedrooms A,2,2,1054,2,East/North,4814,4829,4.57,,renovating,2026-10-05,2026-08-17T20:17:10Z,portal,https://www.equityapartments.com/san-francisco-bay/south-san-francisco/south-city-station-apartments
2026-08-30T00:21:51Z,listed,01-2104,01-2104,East,east outer edge,,2,2,1054,2,,4790,,4.54,,renovating,2026-10-02,2026-08-30T00:21:51Z,portal,https://www.equityapartments.com/san-francisco-bay/south-san-francisco/south-city-station-apartments
2026-08-30T12:55:17Z,price_change,01-2049,01-2049,West,south courtyard cluster by the spa,2 Bedrooms A,2,2,1054,2,East/North,4839,4814,4.59,,renovating,2026-10-05,2026-08-17T20:17:10Z,portal,https://www.equityapartments.com/san-francisco-bay/south-san-francisco/south-city-station-apartments
2026-08-31T13:54:26Z,price_change,01-2049,01-2049,West,south courtyard cluster by the spa,2 Bedrooms A,2,2,1054,2,East/North,4849,4839,4.60,,renovating,2026-10-05,2026-08-17T20:17:10Z,portal,https://www.equityapartments.com/san-francisco-bay/south-san-francisco/south-city-station-apartments
2026-09-01T14:55:09Z,price_change,01-2049,01-2049,West,south courtyard cluster by the spa,2 Bedrooms A,2,2,1054,2,East/North,4859,4849,4.61,,renovating,2026-10-05,2026-08-17T20:17:10Z,portal,https://www.equityapartments.com/san-francisco-bay/south-san-francisco/south-city-station-apartments
2026-09-02T14:31:13Z,price_change,01-2049,01-2049,West,south courtyard cluster by the spa,2 Bedrooms A,2,2,1054,2,East/North,4874,4859,4.62,,renovating,2026-10-05,2026-08-17T20:17:10Z,portal,https://www.equityapartments.com/san-francisco-bay/south-san-francisco/south-city-station-apartments
2026-09-03T15:02:45Z,price_change,01-2049,01-2049,West,south courtyard cluster by the spa,2 Bedrooms A,2,2,1054,2,East/North,4984,4874,4.73,,renovating,2026-10-05,2026-08-17T20:17:10Z,portal,https://www.equityapartments.com/san-francisco-bay/south-san-francisco/south-city-station-apartments
2026-09-05T12:44:39Z,price_change,01-2049,01-2049,West,south courtyard cluster by the spa,2 Bedrooms A,2,2,1054,2,East/North,4964,4984,4.71,,renovating,2026-10-05,2026-08-17T20:17:10Z,portal,https://www.equityapartments.com/san-francisco-bay/south-san-francisco/south-city-station-apartments
2026-09-07T10:21:13Z,price_change,01-2049,01-2049,West,south courtyard cluster by the spa,2 Bedrooms A,2,2,1054,2,East/North,4984,4964,4.73,,renovating,2026-10-05,2026-08-17T20:17:10Z,portal,https://www.equityapartments.com/san-francisco-bay/south-san-francisco/south-city-station-apartments
2026-09-08T14:34:08Z,price_change,01-2049,01-2049,West,south courtyard cluster by the spa,2 Bedrooms A,2,2,1054,2,East/North,4974,4984,4.72,,renovating,2026-10-05,2026-08-17T20:17:10Z,portal,https://www.equityapartments.com/san-francisco-bay/south-san-francisco/south-city-station-apartments
2026-09-09T14:37:46Z,price_change,01-2049,01-2049,West,south courtyard cluster by the spa,2 Bedrooms A,2,2,1054,2,East/North,5084,4974,4.82,,renovating,2026-10-05,2026-08-17T20:17:10Z,portal,https://www.equityapartments.com/san-francisco-bay/south-san-francisco/south-city-station-apartments
2026-09-09T21:43:02Z,listed,01-2109,01-2109,East,southeast corner,2 Bedrooms B,2,2,1103,2,West,4893,,4.44,,renovating,2026-10-27,2026-09-09T21:43:02Z,portal,https://www.equityapartments.com/san-francisco-bay/south-san-francisco/south-city-station-apartments
2026-09-10T14:28:11Z,price_change,01-2109,01-2109,East,southeast corner,2 Bedrooms B,2,2,1103,2,West,4868,4893,4.41,,renovating,2026-10-26,2026-09-09T21:43:02Z,portal,https://www.equityapartments.com/san-francisco-bay/south-san-francisco/south-city-station-apartments
2026-09-10T14:28:11Z,price_change,01-2049,01-2049,West,south courtyard cluster by the spa,2 Bedrooms A,2,2,1054,2,East/North,5079,5084,4.82,,renovating,2026-10-05,2026-08-17T20:17:10Z,portal,https://www.equityapartments.com/san-francisco-bay/south-san-francisco/south-city-station-apartments
2026-09-11T14:27:45Z,price_change,01-2049,01-2049,West,south courtyard cluster by the spa,2 Bedrooms A,2,2,1054,2,East/North,5059,5079,4.80,,renovating,2026-10-05,2026-08-17T20:17:10Z,portal,https://www.equityapartments.com/san-francisco-bay/south-san-francisco/south-city-station-apartments
2026-09-12T10:49:44Z,price_change,01-2109,01-2109,East,southeast corner,2 Bedrooms B,2,2,1103,2,West,4878,4868,4.42,,renovating,2026-10-26,2026-09-09T21:43:02Z,portal,https://www.equityapartments.com/san-francisco-bay/south-san-francisco/south-city-station-apartments
2026-09-12T10:49:44Z,price_change,01-2049,01-2049,West,south courtyard cluster by the spa,2 Bedrooms A,2,2,1054,2,East/North,4919,5059,4.67,,renovating,2026-10-05,2026-08-17T20:17:10Z,portal,https://www.equityapartments.com/san-francisco-bay/south-san-francisco/south-city-station-apartments
2026-09-13T11:55:13Z,price_change,01-2109,01-2109,East,southeast corner,2 Bedrooms B,2,2,1103,2,West,4933,4878,4.47,,renovating,2026-10-26,2026-09-09T21:43:02Z,portal,https://www.equityapartments.com/san-francisco-bay/south-san-francisco/south-city-station-apartments
2026-09-13T11:55:13Z,price_change,01-2049,01-2049,West,south courtyard cluster by the spa,2 Bedrooms A,2,2,1054,2,East/North,5004,4919,4.75,,renovating,2026-10-05,2026-08-17T20:17:10Z,portal,https://www.equityapartments.com/san-francisco-bay/south-san-francisco/south-city-station-apartments
